Sigma,Fault,Seed,Recovery_min,InRange_%,Settling_min,Settled_4h
1,4,101,11.999999999999957,62.5,,0
2,4,101,9.000000000000021,90.0,9.000000000000021,1
3,4,101,9.000000000000021,92.5,9.000000000000021,1
1,4,102,15.0,57.49999999999999,,0
2,4,102,11.999999999999957,82.5,78.00000000000004,1
3,4,102,9.000000000000021,95.0,9.000000000000021,1
1,4,103,11.999999999999957,65.0,,0
2,4,103,5.999999999999979,90.0,33.00000000000004,1
3,4,103,5.999999999999979,95.0,11.999999999999957,1
1,4,104,15.0,55.00000000000001,101.99999999999996,1
2,4,104,15.0,85.0,15.0,1
3,4,104,5.999999999999979,95.0,11.999999999999957,1
1,4,105,15.0,50.0,,0
2,4,105,5.999999999999979,92.5,15.0,1
3,4,105,5.999999999999979,97.5,5.999999999999979,1
1,4,106,11.999999999999957,75.0,86.99999999999996,1
2,4,106,11.999999999999957,90.0,11.999999999999957,1
3,4,106,5.999999999999979,97.5,5.999999999999979,1
1,4,107,15.0,52.5,,0
2,4,107,11.999999999999957,92.5,11.999999999999957,1
3,4,107,5.999999999999979,97.5,5.999999999999979,1
1,4,108,20.99999999999998,52.5,,0
2,4,108,5.999999999999979,92.5,50.99999999999998,1
3,4,108,5.999999999999979,97.5,5.999999999999979,1
1,4,109,5.999999999999979,72.5,41.99999999999996,1
2,4,109,5.999999999999979,92.5,39.00000000000002,1
3,4,109,5.999999999999979,97.5,5.999999999999979,1
1,4,110,15.0,72.5,,0
2,4,110,9.000000000000021,95.0,9.000000000000021,1
3,4,110,5.999999999999979,97.5,5.999999999999979,1
1,4,111,5.999999999999979,52.5,,0
2,4,111,5.999999999999979,95.0,5.999999999999979,1
3,4,111,5.999999999999979,97.5,5.999999999999979,1
1,4,112,11.999999999999957,75.0,11.999999999999957,1
2,4,112,5.999999999999979,92.5,11.999999999999957,1
3,4,112,5.999999999999979,95.0,11.999999999999957,1
1,4,113,20.99999999999998,62.5,60.0,1
2,4,113,5.999999999999979,85.0,48.00000000000004,1
3,4,113,5.999999999999979,95.0,11.999999999999957,1
1,4,114,18.000000000000043,60.0,,0
2,4,114,9.000000000000021,87.5,75.0,1
3,4,114,9.000000000000021,95.0,9.000000000000021,1
1,4,115,11.999999999999957,65.0,,0
2,4,115,9.000000000000021,87.5,9.000000000000021,1
3,4,115,9.000000000000021,95.0,9.000000000000021,1
1,4,116,15.0,62.5,123.00000000000004,1
2,4,116,15.0,82.5,45.0,1
3,4,116,9.000000000000021,95.0,9.000000000000021,1
1,4,117,15.0,55.00000000000001,,0
